L_CODE,E_CODE,E_NAME,DEM_NO,DEM_DT,SCL_PREPAR,NO_EQPT,FIN_YEAR,D_TYPE,N1,N2,N3,N4,N5,N6,N7,N8,N9,D_LOCK,YN,JOB_NO,JOB_DT,CTRL_NO,CTRL_DT,OPT,DEM,FULL_RECD,PART_RECD,OUTS,PER_RECD,DEP_DELE,IN_IIL,IN_CVIL,CRITICAL,CTRL_NA,VED,VED_FULL,VED_PART,VED_OUTS,VED_PER,VED_DELE,VED_IIL,VED_CVIL,VED_CRI,VED_CTRLNA,CONS_FM,CONS_TO,CONS_EQPT,LAST_SOUPD,DEMD,FULL_RECDD,PART_RECDD,OUTSD,DEP_DELED,IN_IILD,IN_CVILD,CRITICALD,CTRL_NAD,VEDD,VED_FULLD,VED_PARTD,VED_OUTSD,VED_DELED,VED_IILD,VED_CVILD,VED_CRID,VED_CTLNAD
45,45,P4_P6 ENGINE,31,2005-07-20,0,0,2005-2006,SPD,21.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,,Y,,,,,0,21,0,0,21,0.0,0,0,0,0,21,0,0,0,0,0.0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
45,45,P4_P6 ENGINE,31,2005-07-20,0,0,2005-2006,SPD,21.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,,Y,,,,,0,21,0,0,21,0.0,0,0,0,0,21,0,0,0,0,0.0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
55,55,JCB CHASSIS,29,2005-07-19,0,0,2005-2006,SPD,327.0,0.0,0.0,0.0,0.0,84.0,20.0,223.0,25.69,,Y,,,,,0,327,237,14,90,72.48,0,0,0,0,327,0,0,0,0,0.0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
55,55,JCB CHASSIS,34,2005-09-03,,,2005-2006,SPD,226.0,0.0,0.0,0.0,0.0,88.0,1.0,137.0,38.94,,Y,183,2005-07-05,,,0,226,186,3,40,82.3,0,0,0,0,226,0,0,0,0,0.0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
55,55,JCB CHASSIS,35,2005-09-07,,,2005-2006,SPD,221.0,0.0,0.0,0.0,0.0,88.0,2.0,131.0,39.82,,Y,193,2005-07-13,,,0,221,189,2,32,85.52,0,0,0,0,221,0,0,0,0,0.0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
55,55,JCB CHASSIS,36,2005-09-19,,,2005-2006,SPD,33.0,0.0,0.0,0.0,0.0,22.0,0.0,11.0,66.67,,Y,183,2005-07-05,,,0,33,29,0,4,87.88,0,0,0,0,33,0,0,0,0,0.0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
18,18,OBM 35 HP,41,2005-09-22,,,2005-2006,SPD,64.0,0.0,0.0,0.0,0.0,46.0,9.0,9.0,71.88,,Y,309,2005-09-09,,,0,64,49,7,15,76.56,0,0,0,0,64,0,0,0,0,0.0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
55,55,JCB  CHASSIS,42,2005-10-01,,,2005-2006,SPD,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,,Y,72,2005-05-14,,,0,8,0,0,8,0.0,0,0,0,0,8,3,0,0,3,0.0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,
26,26,KRAZ 255B/B1,K01,2003-06-20,,,2004-2005,APD,985.0,0.0,0.0,0.0,0.0,3.0,0.0,982.0,0.3,,Y,,,,,0,985,3,0,982,0.3,0,0,0,0,985,323,0,0,323,0.0,0,0,0,0,323,,,,,44781,9,0,44772,,,,,,,,,,,,,,
28,,,,,,,2004-2004,,632.0,0.0,0.0,0.0,0.0,0.0,0.0,632.0,0.0,,,,,,,0,632,0,0,632,0.0,0,0,0,0,632,272,0,0,272,0.0,0,0,0,0,272,,,,,,,,,,,,,,,,,,,,,,
